p0lmx,p0lmy,p0lmz,thum10x,thum10y,thum10z,thum11x,thum11y,thum11z,thum12x,thum12y,thum12z,thum13x,thum13y,thumn3z,index0x,index0y,index0z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle0x,middle0y,middle0z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring0x,ring0y,ring0z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky0x,pinky0y,pinky0z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,sign
0.517847359,0.185827643,-0.835046232,0,0,0,-0.210197798,-0.666660442,0.715108901,-0.096880146,-0.500396931,0.860358733,-0.024852884,-0.27027756,0.962461622,-0.096104342,-0.719622077,0.687683083,-0.27483289,-0.501252462,0.820495492,-0.408105359,-0.341072865,0.846828977,-0.408105338,-0.341073143,0.846828876,-0.033474979,-0.675872411,0.736258046,-0.501441144,-0.324307115,0.802110762,-0.745824313,0.283655989,0.602731594,-0.701683578,0.587270244,0.403427585,0.027436545,-0.615843939,0.787390296,-0.543968539,-0.287571187,0.788289948,-0.812784033,0.322828956,0.484936677,-0.737695143,0.613108118,0.282673506,0.093778343,-0.558147163,0.824425477,-0.526371141,-0.381227539,0.759999333,-0.841985589,0.261229453,0.472037542,-0.75243091,0.576140952,0.319232407,a
0.739498973,0.25753504,-0.621946096,0,0,0,-0.441150406,-0.733731912,0.516743458,-0.368243809,-0.611528335,0.700306785,-0.31479053,-0.423251384,0.849567648,-0.315890376,-0.798811804,0.511969698,-0.403598836,-0.728871273,0.55304127,-0.403598798,-0.728871261,0.553041315,-0.444451718,-0.691968761,0.568895337,-0.267731454,-0.767795019,0.58207446,-0.614854398,-0.53240893,0.581803059,-0.879331215,0.174111237,0.443240219,-0.742268449,0.611997393,0.272940912,-0.221263351,-0.720937292,0.656728217,-0.757209837,-0.34671342,0.553554936,-0.89630563,0.345157212,0.278393097,-0.729675708,0.666030171,0.154845639,-0.165713072,-0.674847049,0.719111006,-0.74380683,-0.427832279,0.513527936,-0.929038693,0.266190269,0.256962736,-0.77009983,0.610010407,0.186637498,b
-0.905862331,-0.397887617,-0.145254537,0,0,0,0.969820827,-0.086546972,0.227941189,0.891736996,0.041963774,0.45060423,0.76412776,0.213890901,0.608571647,0.924191079,-0.290288058,0.248200914,0.912812955,-0.309438938,0.266495879,0.957641398,-0.14336563,0.249738361,0.972990462,-0.006880129,0.230742768,0.902399255,-0.272054769,0.334158327,0.899868508,-0.286882955,0.328534379,0.946606675,-0.160134022,0.279808682,0.970697614,-0.04422385,0.236199901,0.873622741,-0.239239815,0.423730596,0.924586074,-0.155956025,0.347589285,0.971957516,0.049369402,0.229915746,0.971123344,0.181046534,0.155375684,0.834265257,-0.215744491,0.50740102,0.933310626,-0.087741949,0.348184757,0.973297454,0.215291281,0.079634979,0.931551941,0.361620311,-0.037970143,c
-0.945656776,-0.322988033,-0.037576247,0,0,0,0.967085627,-0.209673794,0.144160638,0.910183142,-0.005496336,0.414169576,0.788858936,0.246939399,0.562781052,0.918842943,-0.362370349,0.156254205,0.89878992,-0.401629079,0.175700775,0.926569376,-0.337375732,0.166273291,0.952146811,-0.263588218,0.154718139,0.908026965,-0.340855943,0.243524656,0.888083389,-0.391918852,0.24022387,0.930659532,-0.30639357,0.199989539,0.963801589,-0.21362106,0.159538519,0.891869989,-0.304163197,0.334742695,0.987496728,-0.045292466,0.150992727,0.909326735,0.398100978,-0.120997934,0.758739065,0.607366587,-0.235416353,0.863831874,-0.275972797,0.421465904,0.992218542,-0.038584399,0.118379094,0.895238969,0.387824335,-0.219407094,0.74297719,0.58187234,-0.330771031,d
0.147622615,-0.377572805,-0.914136946,0,0,0,-0.014412785,-0.150852199,0.988451256,-0.329693803,-0.093297214,0.939466671,-0.596774896,0.070451128,0.799309929,0.047886403,-0.289162862,0.956081446,-0.152131157,0.373427055,0.915100184,-0.22796948,0.863866786,0.44918158,-0.224751814,0.962281781,0.153298389,-0.040195779,-0.30921879,0.950141063,-0.077416887,0.356429269,0.931109447,-0.116639114,0.888017584,0.444769701,-0.169527466,0.97945387,0.109227076,-0.13868423,-0.318039226,0.937879382,-0.055064704,0.360836555,0.931002073,-0.00850381,0.890665162,0.454580306,-0.04881705,0.986742147,0.154779945,-0.229748108,-0.333817319,0.914211029,0.017085282,0.31679443,0.948340331,0.035613839,0.865491042,0.499656793,-0.062167514,0.976317326,0.207218914,e
-0.892788768,-0.239270151,-0.381677836,0,0,0,0.876286037,-0.229850335,0.423428395,0.85038146,-0.205952088,0.484184995,0.73013385,-0.077735585,0.678867985,0.794678393,-0.449347271,0.408133902,0.916041885,-0.217922366,0.336715171,0.887561863,0.277070504,0.368056891,0.753407711,0.56018527,0.344338909,0.756289368,-0.434826631,0.488827366,0.809405362,-0.448240939,0.379398235,0.868148837,-0.330904542,0.36989158,0.902702389,-0.233739184,0.361240075,0.712284946,-0.405148201,0.573153636,0.741889252,-0.490546451,0.457126369,0.789443455,-0.426998937,0.440965915,0.831152256,-0.359103406,0.424535831,0.658197256,-0.382531239,0.648418248,0.65558668,-0.460142227,0.598728015,0.700367858,-0.426340699,0.572467005,0.748054202,-0.382975927,0.541981872,f
-0.843664527,-0.410465091,0.346047133,0,0,0,0.982820615,0.107072001,0.150330391,0.942272835,0.280890748,0.182269832,0.863292921,0.473032585,0.175970185,0.969062884,0.056756568,0.240199541,0.961096193,0.182518969,0.207318433,0.965779466,0.217258055,0.141664962,0.966106721,0.225028565,0.126490904,0.949525587,0.133661381,0.283788291,0.867672907,0.344615316,-0.358307144,0.315084723,0.429895117,-0.846115716,-0.048167567,0.444292154,-0.894586143,0.921132651,0.222205085,0.319592773,0.875333519,0.321921515,-0.360773847,0.34357951,0.328511102,-0.87979178,-0.044713049,0.352837925,-0.934615505,0.8833469,0.29975075,0.360343922,0.900045685,0.255590909,-0.352974577,0.415115569,0.197333663,-0.888109503,0.020127244,0.270927605,-0.96238928,g
-0.872801185,-0.000618029,0.488075465,0,0,0,0.977014276,-0.207805968,0.047537182,0.997888657,0.063155862,0.015151397,0.944389257,0.317905977,-0.084051899,0.967119513,-0.182898742,0.176714167,0.993783398,-0.059324929,0.094207802,0.997933265,-0.052428897,0.037153856,0.998851706,-0.046553002,-0.011317571,0.976516591,-0.094459461,0.193630469,0.985124002,-0.106854315,-0.134584008,0.98512403,-0.10685411,-0.134583971,0.926183944,-0.090573198,-0.366032508,0.979843473,0.004939575,0.199705705,0.894534291,-0.092432168,-0.437338195,0.337865075,-0.064058775,-0.939012068,0.00562506,0.041181853,-0.999135833,0.971744141,0.098866155,0.214333403,0.903271704,-0.170910374,-0.393560507,0.39150522,-0.07988115,-0.916702059,0.074219424,0.104483547,-0.991753329,h
-0.086978935,-0.244865745,-0.965647697,0,0,0,0.291333295,-0.277976729,0.915343569,-0.000272911,-0.254691881,0.967022218,-0.302552685,-0.11821791,0.945772911,0.288806736,-0.413431162,0.863519162,0.087325206,0.242895869,0.966113816,-0.152445732,0.782528323,0.603663584,-0.251592972,0.922228484,0.293590871,0.202144292,-0.43586979,0.877014944,0.155406983,0.254352311,0.954543646,-0.008611999,0.823883321,0.566694016,-0.152888907,0.953218986,0.260765309,0.103781293,-0.446730578,0.88862885,0.194655324,0.18635334,0.963006614,0.031411373,0.814222065,0.579703161,-0.153319412,0.950870363,0.268958568,0.009741279,-0.462656736,0.886483983,0.144150177,-0.182214086,0.972634954,0.229708296,0.091957594,0.968905516,0.229708296,0.091956523,0.968905618,i
-0.850512803,-0.155798703,-0.502349198,0,0,0,0.555465373,-0.291687325,0.778701948,0.513459009,-0.06585598,0.855583331,0.486636869,0.157124653,0.859358133,0.421262566,-0.248490563,0.872232934,0.71059553,0.09078287,0.697719473,0.952036066,0.305955798,0.004287122,0.849107302,0.336215596,-0.407401354,0.387326754,-0.17158023,0.905835642,0.850497589,0.057009018,0.522880315,0.894509152,0.420521009,-0.151708463,0.755827152,0.537860322,-0.373405397,0.355715562,-0.080532801,0.931118095,0.820435444,0.020605264,0.571367749,0.94428013,0.300527174,-0.134232837,0.844415695,0.402945236,-0.352983387,0.312807396,0.002600575,0.949813018,0.448746735,-0.07012174,0.890903648,0.448746667,-0.070121698,0.890903685,0.448746761,-0.070121588,0.890903646,j
0.77453059,-0.206355125,-0.597929716,0,0,0,-0.651889032,-0.36815786,0.662948324,-0.717569356,-0.360225292,0.596097273,-0.610502677,-0.367696773,0.701488107,-0.507464699,-0.417233129,0.753920483,-0.688038914,-0.49338517,0.532140514,-0.753280756,-0.335249503,0.565840856,-0.753280791,-0.335249351,0.565840899,-0.564288106,-0.450534972,0.691807179,-0.564926628,-0.431681621,0.703213256,-0.564926628,-0.431681368,0.703213411,-0.564926644,-0.431681513,0.703213309,-0.627299238,-0.473669085,0.618169285,-0.557967517,-0.313237447,0.768475472,-0.55796746,-0.313237101,0.768475655,-0.703814478,0.417310796,0.57488858,-0.676017591,-0.500639236,0.540703775,-0.613922014,-0.245989628,0.750059241,-0.625947991,0.51237097,0.587932906,-0.625947819,0.512371218,0.587932873,k
0.086980231,-0.093257032,-0.991835475,0,0,0,0.31967968,-0.369044601,0.872703262,0.29174277,-0.379254131,0.878095929,0.26294782,-0.388488701,0.883139272,0.126616174,-0.548307701,0.826635959,0.064246301,-0.509786752,0.857898526,0.010723117,-0.319566261,0.947503256,-0.028958278,-0.168256011,0.985317884,0.038828096,-0.569682594,0.820947088,0.011466153,-0.000928486,0.99993383,-0.160271866,0.663343586,0.730950214,-0.299902565,0.875922484,0.377913024,-0.060072494,-0.578952337,0.813145428,0.018751055,0.046464494,0.998743935,-0.073625054,0.728637099,0.680931222,-0.192277039,0.902635317,0.385070157,-0.152270289,-0.59129018,0.791953081,0.087406296,0.007677738,0.996143158,-0.001837841,0.692798849,0.721128544,-0.172955186,0.879174246,0.444003547,l
0.178509176,-0.056738041,-0.982300997,0,0,0,0.001240525,-0.474953651,0.880009937,-0.23901148,-0.450147981,0.860372191,-0.490178338,-0.332537247,0.805694841,0.087062277,-0.565850679,0.819898268,-0.090757264,-0.191210803,0.97734413,-0.314382316,0.517500609,0.795837219,-0.358247142,0.757080462,0.546340699,0.001556909,-0.59208367,0.805874992,-0.111565877,0.111048565,0.987532922,-0.301798463,0.726115967,0.617797127,-0.401430549,0.8547469,0.329030776,-0.095546311,-0.606814755,0.789079689,-0.076756474,0.079367053,0.993885967,-0.192973694,0.749699513,0.633018004,-0.289789035,0.883605602,0.367781804,-0.184632799,-0.623796755,0.759465824,-0.001455349,0.028867698,0.999582182,-0.125104939,0.722714979,0.679729221,-0.287364854,0.867693087,0.40562316,m
-0.025053948,-0.067359515,-0.997414172,0,0,0,0.169867227,-0.4880932,0.856101719,-0.05383736,-0.456618426,0.888032179,-0.307566959,-0.330631408,0.892236201,0.221555411,-0.568188818,0.792511619,0.11795733,-0.33290871,0.935552168,-0.067760943,0.408777681,0.910114972,-0.140376267,0.68163303,0.718102302,0.133783838,-0.590065539,0.796193785,0.100057208,0.092518325,0.990670942,-0.123354277,0.722504938,0.680272252,-0.268888908,0.868361064,0.416710712,0.034677585,-0.599870409,0.799345331,0.129000392,0.067876082,0.989318824,-0.014846281,0.74137877,0.67092258,-0.148037077,0.889196055,0.432915002,-0.059265632,-0.612351868,0.788360815,0.199929656,0.011456237,0.979743276,0.065498266,0.700215925,0.710920274,-0.121895124,0.868202796,0.481004661,n
